SolidityFile,GasCost,ACI,PM,EF,AZ,LI,IFF,UMA,SB,RLV,GV,NLF,NU,IP,NM,MA,EC,BV,NE,DF
0x19080df0360ce52b1068d54e1769182d9cc2b218__0xBabylon.sol,0.08924576,8,22,0,8,0,0.421052632,0,0,0.578947368,46,2,0.054421769,48,0.260869565,0,0.057142857,0.125,12,0.080508475
0x12ae2dd61856e43ba0042d3e694884c97e40bef5__1010_Mining_.sol,0.01738746,1,2,2,1,0,0.444444444,0,0,0.666666667,3,1,0.086956522,6,0.333333333,0.5,0,0.25,3,0.191489362
0x645f0c9695f2b970e623ae29538fdb1a67bd6b6e__8thereum.sol,0.0673024,0,18,0,5,0,0.296296296,0,0,0.777777778,22,0,0.030612245,18,0.409090909,0.9,0.253521127,0.139534884,7,2.7
0x129bc997c3448515d36c83382eaae2454b0884b6_AbcdEfg.sol,0.01576424,0,4,0,2,0,0.2,0,3,0.6,9,0,0.1,3,0.333333333,0,0.25,0,1,0.12195122
0x488598cbe5c44649e5b5ee95d17bb255c76954f2_ABECrowdsale.sol,0.0186066,0,8,1,0,0,0,0,0,0,5,0,0.25,2,0,0,0,0,1,0.14516129
0x1dc2189b355b5f53b5fdf64d22891900b19fb5ea_ABEToken.sol,0.0235366,0,28,0,1,0,0.151515152,0,0,0.727272727,9,0,0.136363636,12,0.444444444,0,0.166666667,9.5,7,2
0xb1d914e7c55f16c2bacac11af6b3e011aee38caf_AbstractStorage.sol,0.05673798,22,4,5,2,0,0.625,0,0,0.791666667,13,6,0,8,0.076923077,0.111111111,0.287234043,0,3,0.061538462
0x33d2da15f86b1aa9a896db4daccf54d8f9992c7f_ABX.sol,0.0259638,0,8,0,0,0,0.111111111,0,1,0.555555556,6,0,0.2,5,0.5,0,0.375,2.5,2,0.138461538
0x0e285934fa1370b014fd5c639cf9eb03433af238_AbxyjoyCoin.sol,0.01857066,0,0,0,0,0,0,0,0,0.75,7,0,0.125,3,0.428571429,0,0.4,0,1,0.108108108
0x8d5da264fde1f8355b171a35390b7d52101ba694_ACCOR_301201.sol,0.0184192,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0xfbcd4f699d52813cc53324ed012d9d3e5da56ee4_AccreditationRegistryV1.sol,0.01450162,0,7,0,0,0,0,0,0,0.285714286,3,0,0,3,0.666666667,0,0,0,1,0.134615385
0x3cb8c8026557623bde4b3923c6ee0c398b85ce47_AchimPowh.sol,0.02672144,5,8,0,0,0,0.25,0,0,0.5,11,1,0.693877551,8,0.454545455,0,0.142857143,0.133333333,4,1
0xa3e694c97019f24350799b388a0137d951c94cc7_Act.sol,0.00821316,0,2,0,0,0,0,0,1,0.5,3,0,0,0,0,0,0,0,0,0.2
0x3aad579460b4bba251e2c524b1d2a62fa4d44e14_AdAgency.sol,0.02313484,0,6,0,0,0,0.142857143,0,0,0.571428571,6,0,0.214285714,5,0.5,0,0.357142857,4,2,0.12962963
0x62c8b4ac2aef3ed13b929ca9fb20cacb222e3fa6_AddressRegex.sol,0.11668832,2,0,0,1,0,0.977777778,0,1,1,1,1,0,0,0,0,0,0.4,0,0.164233577
0x5a37ae1b841c0cd4c394d6c58c81c1a166f54053_AddressrResolver.sol,0.00533824,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.133333333
0xdf5985e2e95028d413ec6fd63dec44d9a4573b50_AddressValidation.sol,0.0056414,0,1,0,0,0,0,0,0.333333333,0,2,0,0,2,0.5,0,1,0,1,0.125
0x1952e7fdf4c9c11b6105482aa61c0e8ee68d46b6_ADIDAS_AG.sol,0.01841664,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x5fa498b70de14fa9f7b2a51e973c65346a31b8cc_Admin.sol,0.00395108,0,2,0,0,0,0,0,0,0.5,2,0,0,0,0.5,0,0,1,0,0.2
0x19c716605262c42a89bd7d73a2072bff29ea96c5_Adoption.sol,0.02277866,4,3,1,2,0,0,1,0,0.4,2,2,0.454545455,0,0,0,0.25,0,0,0.119047619
0x9fca5531b2a91b14cf46eddf029f34f7a5174362_ADULT.sol,0.02597676,0,8,0,0,0,0.111111111,0,1,0.555555556,6,0,0.2,5,0.5,0,0.375,2.5,2,0.138461538
0x1d349118ca6a346fc25411b6e7925926bdff8724_AdverzToken.sol,0.02755518,0,8,0,0,0,0.111111111,0,2,0.555555556,9,0,0.176470588,5,0.333333333,0,0.352941176,2.5,2,0.134328358
0x14ad96506f7d714679788372efb8602238d76375_AENCrowdsale.sol,0.01575124,0,6,1,0,0,0,0,0,0,4,0,0.4,2,0,0,0,0,1,0.122807018
0x0bef619cf38cf0c22967289b8419720fbd1db9f7_AENToken.sol,0.02354556,0,18,0,0,0,0.181818182,0,1,0.818181818,8,0,0.971428571,8,0.375,0,0,0,3,0.523809524
0x4c3da77d8bce020d4128995d7f92c5bd0919fcc3_Aeron.sol,0.0184657,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.131578947
0x53848e6049e19bf83acba186aeb42117011becb6_AffiliateNetwork.sol,0.00537944,0,0,0,1,0,0,0,0,0,3,0,0,0,0.666666667,0,0.5,0,0,0.125
0x6d14421da39b403baab1cb0eac158ee658590798_Agencies.sol,0.01556472,0,5,0,0,0,0,0,9,0.4,2,0,0,4,1,0,0.428571429,0,2,0.147058824
0x6cfb72765d2673c7f830f9cdf90c248179794119_Agent.sol,0.00220786,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.714285714
0x9ddfc10411cd52b35258a1f80cd52055b3dbb931_Agreement.sol,0.01372004,3,4,0,1,0,0,0,0,0,3,1,0,3,0.333333333,0.5,0,0.1,2,0.081632653
0x447b0501c1ea31c2b2999687cd315d2306a8e0cb_AgriculturalSystemManagement.sol,0.02089086,0,6,0,0,0,0.142857143,0,1,0.428571429,6,0,0.230769231,3,0.5,0,0.333333333,1.5,1,0.14893617
0x56a312834d31c76072a03c8200f1c106bdd65bdb_AgurisToken.sol,0.01169564,0,4,0,0,0,0.2,0,0,0.2,5,0,0.272727273,5,0.2,0,0.333333333,1,2,0.125
0x0bfe46f1666e83bd6cdf9196f48e59c3da3f4f56_Aikcoin.sol,0.01846834,0,3,0,0,0,0.4,0,2,0,9,0,0.357142857,6,0.333333333,0,0,0.5,2,0.131578947
0x7860ca4be312900ca0e0e949e7f98e380576517b_AIR_FRANCE_KLM_OTC_050601.sol,0.01843712,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x7d1ec9ae517f3c17689937c76b3d5930a8fe46bc_AIRBUS_301201.sol,0.01842176,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x0379258fab3707dff45c79a3d017ec3a831ea3ba_Airdrop.sol,0.00666538,0,4,0,2,0,0,0,0,0.25,2,1,0.25,3,0,0,0,2,3,0.444444444
0x1cbd39b61919b41e22b1eb8bc564e67cae7376b9_AirdropContract.sol,0.00712722,2,1,1,1,0,0,0,0,1,2,1,0,0,0,0,0,1,0,0.111111111
0x05d90ae5e319d1747f9f79fea0af125a968cf475_Airdropper.sol,0.00413568,0,8,0,1,0,0.333333333,0,0,0.583333333,3,1,0.166666667,5,0,0,0,0.25,2,2
0x3eb13bb9b01018b27c1bae50579e50c4094efdc1_AIRPORT_CITY_20230515.sol,0.01843456,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0xb0d28f8cacac3020f23bedf470514fd847bc9036_AKAD.sol,0.01878288,0,6,5,0,0,0.266666667,0,0,0.933333333,6,0,0.034482759,6,0.5,0,0,0,2,0.483870968
0xc333b0bc21A64A56aB7e59D77b486D4Ee41a50A2_AKValueTest.sol,0.00213026,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.142857143
0x7e247b6ef830fd6ab9ca536a6af6358ac0a9e426_Algo_Exchange_Index_II.sol,0.01845098,0,4,0,0,0,0,0,0,0.75,6,0,0.1,6,0.5,0,0,0,2,0.1
0x1aa91e8bbee15be1bcec9ff540f54a87700398d0_Alias.sol,0.02033522,0,5,0,0,0,0,0,0,0.4,4,0,0,0,1,0,0.111111111,2,0,0.142857143
0x4702a04b84dbd61a7494283349444ea784ba9593_AlienFarmer.sol,0.02607934,0,14,0,1,0,0.210526316,0,0,0.736842105,10,0,0,0,0.4,0,0.3,0.1,0,0.863636364
0xd2e565e2df48dcb302aee97428a739b089400cb3_AlkonCoin.sol,0.02519148,0,6,1,0,0,0.125,0,1,0.625,6,0,0.142857143,5,0.5,0,0.25,5,2,0.145454545
0x1c67ceba2f78e8af111279dc6d59fa5ef1707781_AllForOne.sol,0.02616164,0,3,0,1,0,0,0,0,0.2,11,0,0,2,0.636363636,0,0,0,1,0.069444444
0x11524a168d1b888df781a87a6b4511f199b543ad_AllPubs.sol,0.01974276,0,2,4,0,0,0,0,0,0.166666667,5,0,0,5,0.4,0.666666667,0,0,4,0.101694915
0xa760e5bec439c59eada45059625320a5d0c9d2b6_Almacert.sol,0.02543312,6,6,0,1,0,0,0,3.125,0.5,6,2,0,0,0.166666667,0.5,0.5,0,0,0.138888889
0x53088104b7a9a04e52d8b884571634c815bce666_ALONY_HETZ_20230515.sol,0.01842944,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x15bda08c3afbf5955d6e9b235fd55a1fd0dbc829_AlphacoinCoin.sol,0.03137478,0,7,5,0,0,0.25,0,0,1,9,0,0.102564103,12,0.333333333,0,0,2,4,0.275862069
0x0ccD5eA595a3E7537e471F40a4d90F88eD0cf5ec_Altruism.sol,0.02389898,0,0,0,1,0,0,0,0,0.692307692,5,0,0.142857143,9,0.6,0,0,2.5,3,0.173333333
0x851e51b7f63d38458e1973a587754b08a6aeb218_AmericanSatanCoin.sol,0.02671782,0,8,0,0,0,0.111111111,0,1,0.555555556,6,0,0.1875,5,0.5,0,0.352941176,2.5,2,0.140625
0x5e64e1265ab191e5bb94319c6e31bc18280155d7_AML.sol,0.01829008,0,0,0,0,0,0,0,0,0.833333333,6,0,0.090909091,6,0.5,0,0.5,0,2,0.109090909
0x31EB9d9A2fa971B66f87E594bD6f8A5481b03DE4_AmmbrToken.sol,0.02165232,0,0,0,1,0,0.210526316,0,0,0.842105263,8,0,0.052631579,12,0.375,0,0.263157895,1.5,4,0.333333333
0x6c46b734d5a94b10929ac4e88f22cc56145bc65c_AMOT__20230515.sol,0.01842304,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0xe8b151c05a27bf095c0534bd5531523769e2abc8_AMULETS.sol,0.02082124,0,5,0,0,0,0.142857143,0,1,0.428571429,6,0,0.230769231,5,0.5,0,0.363636364,1.5,2,0.155555556
0xa5816b5fdba5ee1d983a94f156651c9dcc42850a_ANBXToken.sol,0.0292368,0,7,5,0,0,0.25,0,0,1,7,0,0.102564103,12,0.428571429,0,0,2,4,0.296296296
0xfe42338944ad5f0307e1ae57ae64867f602f8b6f_AngelCoin.sol,0.002545294,0,7,1,0,0,0.111111111,0,2,0.666666667,6,0,0.176470588,8,0.5,0,0.230769231,3,3,0.134328358
0xb39b66a7273b83bca1f2f618672302485b391f92_ANHUI_ANNUITY_DAO_33_c.sol,0.01842944,0,4,0,0,0,0,0,0,0.75,6,0,0.111111111,6,0.5,0,0,0,2,0.097560976
0x821a578b145933cc3fa2776b11f67dd796e481aa_Annexe_CPS_6.sol,0.01688242,0,9,0,0,0,0,0,0,0.444444444,5,0,0,0,0,0,0,0,0,0.236842105
0xbb50ab269d29a6b8de4321c9335de360af0b274a_Annexe_SO_DIVA_SAS.sol,0.03250294,0,41,0,0,0,0,0,0,0.487804878,21,0,0,0,0,0,0,0,0,0.273333333
0x448fcea60482c0ea5d02fa44648c3749c46c4a29_anonym_GIFT.sol,0.0090755,0,7,1,1,0,0,0,0,0.125,5,0,0,0,0,0,0,0,0,0.129032258
0xC034CF94f7cEd9C968cC75210d1B5DdAccACFbf4_ANSWER_AND_RECIVE.sol,0.00987262,0,4,1,0,0,0,0,2.5,0,3,0,0,0,0,0,0,0,0,0.119047619
