"Chronological information,""What is your highest education qualification?"",""How many years of experience do you have in software development?"",""How long have you been developing smart contracts?"",""What language do you use to develop smart contracts?"",""Main role in developing smart contracts."",""𝐂𝐒𝟏 - 𝐃𝐮𝐩𝐥𝐢𝐜𝐚𝐭𝐞 𝐖𝐫𝐢𝐭𝐞𝐬. Modifying a variable's value several times could require much gas. To save gas, developers should overwrite variables outside cycles as much as possible.  Please consider the following code blocks showing the bad and good practice, respectively."",""Comment to CS1 (optional)"",""𝐂𝐒𝟐 - 𝐀𝐛𝐮𝐧𝐝𝐚𝐧𝐜𝐞 𝐨𝐟 𝐩𝐮𝐛𝐥𝐢𝐜 𝐦𝐞𝐦𝐛𝐞𝐫𝐬.  The order of the functions influences the gas consumption. Since the order of the functions is based on the method ID, this implies that the subsequent ordering can consume additional gas. Depending on the VM transaction, each position will have an additional gas fee. Since all public members participate in the sorting, reducing public members could save gas."",""Comment to CS2 (optional)"",""𝐂𝐒𝟑 - 𝐒𝐜𝐚𝐫𝐜𝐢𝐭𝐲 𝐨𝐟 𝐞𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐟𝐮𝐧𝐜𝐭𝐢𝐨𝐧𝐬. Storing the input parameters in memory produces gas. For all public functions, the input parameters are copied to memory automatically. If a function is only called externally, it should be explicitly marked as external, in a way that these parameters are not stored into memory but are read from call data directly. This can save gas when the function input parameters are huge."",""Comment to CS3 (optional)"",""𝐂𝐒𝟒 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐢𝐧𝐢𝐭𝐢𝐚𝐥𝐢𝐳𝐚𝐭𝐢𝐨𝐧 𝐨𝐟 𝐯𝐚𝐫𝐢𝐚𝐛𝐥𝐞𝐬. An uninitialized variable is automatically set with its default value (e.g., a uint256 variable, when not initialized, it is assumed to have the default value 0). When declaring a variable, explicitly setting it with its default value is useless and wastes gas."",""Comment to CS4 (optional)"",""𝐂𝐒𝟓 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐥𝐢𝐛𝐫𝐚𝐫𝐢𝐞𝐬. When a public function of a library is called, the bytecode of that function is not made part of a client contract.  Thus, complex logic should be put in libraries for keeping the contract size small.  "",""Comment to CS5 (optional)"",""𝐂𝐒𝟔 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐢𝐧𝐭𝐞𝐫𝐧𝐚𝐥 𝐟𝐮𝐧𝐜𝐭𝐢𝐨𝐧𝐬. From inside a smart contract, calls to internal functions are cheaper than calls to public functions. A call to a public function implies that all the parameters are copied into memory and passed to that function. Conversely, a call to an internal function does not entail copying such parameters into memory again. For this reason the use of internal functions is preferable whenever possible, especially when the parameters are huge in numbers and size."",""Comment to CS6 (optional)"",""𝐂𝐒𝟕 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐦𝐞𝐦𝐨𝐫𝐲 𝐚𝐫𝐫𝐚𝐲𝐬. Whenever a developer has to make some internal computations in a solidity function with the help of an array, it may be preferable to avoid using storage, by employing memory  arrays. If the size of the array is exactly known, fixed size memory arrays can be used to save gas.  Please consider the following code blocks showing the bad and good practice, respectively."",""Comment to CS7 (optional)"",""𝐂𝐒𝟖 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐬𝐭𝐫𝐢𝐧𝐠𝐬. Using bytes32 is cheaper than using  the string type. If the length of the string can be limited to a certain number of bytes, bytes1 to bytes32 data types are preferable wherever possible."",""Comment to CS8 (optional)"",""𝐂𝐒𝟗 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐫𝐞𝐭𝐮𝐫𝐧 𝐯𝐚𝐥𝐮𝐞𝐬. A simple optimization in Solidity consists of naming the return value of a function. It is not needed to create a local variable then. Please consider the following code blocks showing the bad and good practice, respectively."",""Comment to CS9 (optional)"",""𝐂𝐒𝟏𝟎 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐠𝐥𝐨𝐛𝐚𝐥 𝐯𝐚𝐫𝐢𝐚𝐛𝐥𝐞𝐬.  Storing global variables in memory is expensive in terms of gas. Number and size of global variables should be minimized. "",""Comment to CS10 (optional)"",""𝐂𝐒𝟏𝟏 - 𝐔𝐧𝐛𝐨𝐮𝐧𝐝𝐞𝐝 𝐥𝐨𝐨𝐩𝐬. In general, loops should be avoided. If avoiding loops is not possible, it could be beneficial to try to avoid unbounded loops, i.e., loops where the upper limit of iterations is not defined."",""Comment to CS11 (optional)"",""𝐂𝐒𝟏𝟐 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐝𝐚𝐭𝐚 𝐭𝐲𝐩𝐞𝐬. Use bytes32 whenever possible, because it is the most optimized storage type. For example, storing a small number in a uint8 variable is not cheaper than storing it into a uint256 variable, as, for storing, any smaller data is padded with zeros to fill the 32 bytes, requiring additional operations from the EVM and additional gas. Please consider the following code blocks showing the bad and good practice, respectively. "",""Comment to CS12 (optional)"",""𝐂𝐒𝟏𝟑 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐢𝐧𝐝𝐞𝐱𝐞𝐝 𝐩𝐚𝐫𝐚𝐦𝐞𝐭𝐞𝐫𝐬. The indexed parameters in events have additional gas costs. It is preferable to only use the indexed qualifier for event parameters that should be searchable.  In the following code blocks, if the """"addr"""" parameter is not assumed to be sought, declaring it as indexed would only waste gas."",""Comment to CS13 (optional)"",""𝐂𝐒𝟏𝟒 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐬𝐭𝐫𝐮𝐜𝐭𝐬. Since many DApps use storage, it would be useful to reduce archiving costs in order to optimize gas costs. To do this, using structs is less expensive than using mapping.  Please consider the following code blocks showing the bad and good practice, respectively. "",""Comment to CS14 (optional)"",""𝐂𝐒𝟏𝟓 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐦𝐚𝐩𝐩𝐢𝐧𝐠𝐬. Mappings are cheaper than arrays. It is cheaper to use arrays only when smaller elements are used, such as uint8 that can be packed together. In other cases, arrays might cost more gas than mappings."",""Comment to CS15 (optional)"",""𝐂𝐒𝟏𝟔 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐞𝐱𝐭𝐞𝐫𝐧𝐚𝐥 𝐜𝐚𝐥𝐥𝐬. Every call to an external contract costs a decent amount of gas. For optimizing gas usage, it is better to call one function and have it return all the needed data rather than calling a separate function for every piece of data."",""Comment to CS16 (optional)"",""𝐂𝐒𝟏𝟕 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐛𝐨𝐨𝐥𝐞𝐚𝐧𝐬. Booleans (bool) are uint8 which means they use 8 bits of storage even if they can have only two values: True or False. When EVM packs the bools normally it can store only 32 bools in one memory slot. Otherwise, a set of 256 different booleans could be more efficiently packed in a single word by not declaring them as bool but uint256, using one bit for each boolean value.  Please consider the two  following code blocks. The first code block  illustrates how to get an individual boolean from a uint256, while the second one reports the function to set or clear a bool. "",""Comment to CS17 (optional)"",""𝐂𝐒𝟏𝟖 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐞𝐯𝐞𝐧𝐭𝐬. It is cheaper to store the data that is not required on-chain in events rather than variables."",""Comment to CS18 (optional)"",""𝐂𝐒𝟏𝟗 - 𝐈𝐧𝐞𝐟𝐟𝐢𝐜𝐢𝐞𝐧𝐭 𝐮𝐬𝐞 𝐨𝐟 𝐟𝐮𝐧𝐜𝐭𝐢𝐨𝐧𝐬. In Solidity, it could be preferable using fewer larger functions, rather than implementing multiple functions, each performing a single small task. Indeed, multiple smaller functions cost more gas and require more bytecode."",""Comment to CS19 (optional)"",""It is useful to have a suite of metrics for more easily identifying Solidity-specific code smells that could lead to a higher gas consumption while developing a smart contract."",""If such a suite of metrics exists, I would like to use it in my development process."",""Is there any other smell you have encountered in your practice you might want to be detected? If so, please describe it below.""";;;;
"2020/09/21 5:25:49 PM CET,""Bachelor Degree"",""Between 5 and 10 years"",""Between 1 and 3 years"",""Solidity"",""Software Developer"",""4"",""The compiler could optimize this depending on the complexity of the loop. Also gas cost depends on whether or not the variable is block-scoped or contract-scoped, the latter is much more expensive."",""2"",""I am not sure I understand the question. If the question is read: """"The sorting order of public methods affects gas cost"""", then I disagree since I have never heard that statement before. However if the question is read: """"The amount of public methods affects gas cost"""", then I agree since the size of a smart contract does influence  memory consumption."",""5"","""",""3"","""",""1"","""",""5"","""",""4"","""",""5"","""",""4"","""",""5"","""",""5"","""",""5"","""",""5"","""",""5"",""However this depends on the struct size. If it is a multiple of 32 bytes, like in the example shown, then it is very efficient."",""3"","""",""5"","""",""4"",""not sure if the overhead of calling the method is smaller than the benefit of the bool array"",""5"","""",""5"","""",""5"",""5"",""""";;;;
"2020/09/21 9:39:39 PM CET,""Bachelor Degree"",""Less than 5 years"",""Less than 1 years"",""Solidity"",""Software Developer";"Product Owner"",""5"","""",""3"","""",""4"","""",""1"",""Automatically defaulting to 0 can be a useful feature in many use cases. I.e. (simple) defining timesCalled as 0 automatically and then increasing it by 1 with each call."",""4"",""Only when it makes sense to break out a set of functions/logic into a category (ownable, safemath, interfaces)"",""5"","""",""3"","""",""3"","""",""5"","""",""4"","""",""5"","""",""3"",""In some scenarios using 256 helps to prevent overflow attacks"",""5"","""",""5"","""",""3"","""",""5"","""",""2"",""While I wish it were more efficient here, bool is a universal and easy to interpret standard"",""3"","""",""5"","""",""5"",""5"",""Grazie!""";;;
"2020/09/21 10:38:34 PM CET,""Bachelor Degree"",""More than 10 years"",""Between 1 and 3 years"",""Solidity"",""Software Developer"",""2"",""It should no longer be a problem with latest fork"",""4"","""",""4"","""",""2"","""",""3"","""",""4"","""",""3"",""Example is wrong it doesn't compile with recent solidity versions."",""4"","""",""1"","""",""4"","""",""4"","""",""2"",""Gas optimization should be second to security and correctness"",""2"",""Indexed parameters exists for a reason. They should be used when they are useful"",""4"","""",""3"","""",""4"","""",""3"","""",""3"","""",""3"","""",""3"",""2"",""Following arbitrary rules without thinking""";;;;
"2020/09/22 12:36:42 AM CET,""Ph. D."",""Between 5 and 10 years"",""More than 3 years"",""Solidity"",""Researcher"",""4"","""",""4"",""Yes, I agree with it might increase the gas consumption. However, it might also increase the risk of vulnerabilities and difficulty of development. "",""5"","""",""3"",""I'm not sure whether it is correct. Since EVM will optimize the bytecode when compiling a smart contract source code to its bytecode, I think setting the variable's default value will not change contract's bytecode. So, the gas consumption is the same as the uninitialized variable. Maybe you should explicitly show how many gas you can save by this method to convince reviewers. "",""4"","""",""5"","""",""5"","""",""5"","""",""3"",""Readability is also very important for smart contracts. It might can save some gas, but it can reduce the readability. You should balance the readability and the gas consumption. "",""5"","""",""5"","""",""5"","""",""5"","""",""5"","""",""4"","""",""5"","""",""5"","""",""5"","""",""5"","""",""5"",""5"",""I have similar works with you. They might help you. ";;;;
"Defining Smart Contract Defects on Ethereum"""", """"Towards saving money in using smart contracts"""", """"GasChecker: Scalable Analysis for Discovering Gas-Inefficient Smart Contracts"""", """"DEFECTCHECKER: Automated Smart Contract Defect Detection by Analyzing EVM Bytecode""""""";;;;
"2020/09/22 11:29:30 AM CET,""Bachelor Degree"",""More than 10 years"",""Between 1 and 3 years"",""Solidity"",""Software Developer";Product Owner;"Manager"",""5"","""",""3"","""",""3"","""",""5"","""",""4"","""",""4"","""",""5"","""",""5"","""",""3"","""",""5"","""",""5"","""",""4"","""",""3"","""",""5"","""",""4"","""",""5"","""",""4"","""",""3"","""",""3"","""",""5"",""5"",""""";;
"2020/09/22 2:17:34 PM CET,""Bachelor Degree"",""Less than 5 years"",""Between 1 and 3 years"",""kotlin"",""Software Developer"",""1"","""",""2"","""",""4"","""",""1"","""",""3"","""",""1"","""",""5"","""",""4"","""",""4"","""",""4"","""",""5"","""",""5"","""",""3"","""",""4"","""",""4"","""",""4"","""",""3"","""",""3"","""",""4"","""",""5"",""4"",""""";;;;
"2020/09/22 2:23:27 PM CET,""Bachelor Degree"",""Less than 5 years"",""Less than 1 years"",""Solidity"",""Software Developer"",""4"","""",""3"","""",""5"","""",""5"","""",""4"","""",""4"","""",""4"","""",""4"","""",""4"","""",""4"","""",""3"","""",""3"","""",""4"","""",""5"","""",""4"","""",""3"","""",""4"","""",""3"","""",""4"","""",""5"",""5"",""""";;;;
"2020/09/22 2:53:01 PM CET,""Master Degree"",""Less than 5 years"",""Between 1 and 3 years"",""Solidity"",""Software Developer"",""4"","""",""3"",""I'd agree insofar as the number of variables should be kept to a minimum. The effects on gas costs due to function selector I would imagine are secondary to other savings I'd imagine."",""4"","""",""5"",""It's a super simple change that saves money so why not. Just put a comment above it if necessary."",""2"",""This has its place but can also reduce readability."",""5"","""",""5"","""",""5"","""",""4"","""",""5"","""",""5"",""This is a severe security risk as it can halt contract operation."",""2"",""For a single variable such as this sure but if we have multiple then we can pack both variables into the same storage slot."",""5"","""",""5"",""Much easier to work with and reason about as well."",""3"",""Arrays and mappings do completely different jobs."",""5"","""",""1"",""Massively hampers readability. I would only consider this in exceptional circumstances"",""5"","""",""3"",""There comes a trade-off with readability which is very important."",""5"",""5"",""""";;;;
"2020/09/23 1:33:50 PM CET,""Master Degree"",""Less than 5 years"",""Less than 1 years"",""Solidity"",""Testing"",""3"",""This situation is not common in developing's logic."",""3"","""",""3"",""Input should not be huge, I think."",""3"",""Yeah but maybe the compiler will consider it."",""4"",""Yes, we should do that."",""4"",""Yes, there should not be so much public functions if not necessary."",""5"",""Yes, storage access is really expensive."",""4"",""I'd like use more bytes32 cause a slot's size is bytes32."",""3"",""Maybe, I'm not so familiar with the difference."",""4"","""",""4"",""Yes, cause the contracts cannot be modified, we should avoid this."",""4"",""Yeah, due to the design of ethereum, but sometimes we cannot avoid to use it."",""3"",""Not familiar."",""3"",""Not common."",""3"",""Sry, my knowledge blind area."",""4"",""Yes, this is more related to structure design."",""4"",""Yes but not only appears to solidity."",""3"",""My bad, I don't know about this."",""3"",""It seems to be in conflict with CS16?"",""4"",""5"",""No thanks.""";;;;
"2020/09/23 2:35:01 PM CET,""Master Degree"",""Less than 5 years"",""Less than 1 years"",""Solidity"",""Software Developer"",""4"","""",""2"","""",""4"","""",""3"","""",""3"","""",""4"","""",""4"","""",""3"","""",""2"","""",""2"","""",""5"","""",""3"","""",""4"","""",""4"","""",""2"","""",""4"","""",""3"","""",""2"","""",""2"","""",""4"",""4"",""""";;;;
"2020/09/23 6:33:14 PM CET,""Ph. D."",""More than 10 years"",""Between 1 and 3 years"",""Solidity"",""education"",""3"",""Yes, SSTORE is way more expensive than MSTORE, and therefore it's a waste of gas to increment a storage variable in a loop. I just dislike the error-prone double usage of the literal 10 as the inherent connection is lost and one may alter the value in one spot but forget the other."",""4"",""The question is somewhat unclear. In the bytecode, the entry points for the functions (4 byte signatures)  are in a specific order. The ordering itself does not consume gas as this happens at compile time. Looking for the called entry point in the bytecode at execution time is what costs gas. So yes, reducing public members (entry points) saves the gas needed for successive comparisons of the first 4 bytes of calldata to the entry points in the bytecode. ";;;;
"Then again, a public function is a piece of code that is offered to the public to be called. If this functionality is needed, it should be there. If you don't need a piece of code to be called from outside the contract, it should not be public. "",""5"","""",""5"","""",""5"","""",""5"","""",""5"","""",""5"","""",""5"","""",""5"","""",""4"","""",""5"","""",""5"","""",""5"","""",""4"","""",""5"","""",""1"",""This cripples readability. If this is of concern, the compiler should handle it."",""5"","""",""4"",""hm. External functions should return what's neccessary on a need to know basis. If the use case always requires several pieces of data at once, they should be delivered by a single function, yes. Using multiple internal functions is a matter of readabilty, and they should be optimized away by the compiler."",""4"",""4"",""""";;;;
"2020/09/23 11:25:30 PM CET,""Bachelor Degree"",""Between 5 and 10 years"",""Less than 1 years"",""Solidity"",""Software Developer"",""3"","""",""3"","""",""4"","""",""3"","""",""2"","""",""3"","""",""4"","""",""4"","""",""4"","""",""5"","""",""3"","""",""4"","""",""4"","""",""3"",""It's good for structure, but I think it doesn't reduce cost that much (the SSTORE cost of going from zero to non-zero value)"",""4"","""",""5"","""",""3"","""",""3"","""",""4"","""",""4"",""4"",""""";;;;
"2020/09/24 12:21:41 PM CET,""Bachelor Degree"",""Less than 5 years"",""Between 1 and 3 years"",""Solidity"",""Software Developer"",""3"",""This is an example of bad practice in this contrived code.";;;;
"If 10 were a variable, or if conditionality were in the .../ or was anticipated, I would disagree it's bad practice, as the cost of inc in memory is low, and readability counts (the count may actually be counting something)."",""3"","""",""4"","""",""2"",""readability"",""5"","""",""4"",""but visibility should be locked down for more reasons than just efficiency!"",""5"","""",""5"","""",""3"",""benefit is minimal compared to readability"",""5"","""",""5"","""",""3"",""A far larger benefit is tightly packed storage of small types.";;;;
"But this is fine in the circumstances where it is a benefit."",""4"","""",""4"","""",""5"","""",""4"","""",""4"",""Sure, OK - if you have that many bools and you don't have overhead to index them for readability"",""4"",""Obviously depends on the use case. I've answered 'agree' on the assumption that the use case is one of the few where events are a suitable means of interrogating the chain, or where a variable is not expected to be checked after an interaction is completed."",""2"",""readability"",""4"",""4"",""Solidity itself is a better definition of 'code smell' than the inefficient practices described here.""";;;;
"2020/10/01 8:48:00 AM CET,""Ph. D."",""Between 5 and 10 years"",""More than 3 years"",""Solidity"",""Security researcher"",""3"",""I would not call this one bad practice, because:";;;;
- count is a local variable, which will be used in the stack. Writing the variable outside of the loop will save some stack operations, but it does not cost that much gas.;;;;
"- In """"good"""", count is increased by """"10"""". If the dev changes later the number of loop iteration, he might forget to change the increase of count, which can lead to a bug/vulnerability";;;;
;;;;
"If count was a state variable, I would tend to agree as the gas-saving would be significantly higher - though """"10"""" should be changed to a constant in both cases"",""4"",""I agree that you save some gas - though this is not the location where devs should worry too much about optimization as the cost/benefit is not so high"",""4"",""Note that slither has an inbuilt detectors for this: https://github.com/crytic/slither/wiki/Detector-Documentation#public-function-that-could-be-declared-external"",""1"",""Variable should always be explicitly initialized to improve the code readability. Otherwise it is difficult during a review to know if the intent for the variable was to be initialized to the default value, or if the variable is missing the initialization."",""2"",""With a library, you reduce the gas cost of deployment, but you increase the gas cost of executing the contract.";;;;
;;;;
